
P_APPLY_RIR    = [0.7, 0.7, 0.7, 0.7, 0.7, 0.7, 0.7, 0.7, 0.7, 0.7, 0.7, 0.7, 0.4, 0.6, 0.8]
P_APPLY_ECHO   = [0.5, 0.5, 0.5, 0.3, 0.7, 0.9, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5]
P_APPLY_NOISE  = [0.6, 0.8, 1.0, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8]
P_PITCH_SHIFT  = [0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.1, 0.3, 0.4, 0.2, 0.2, 0.2]
P_TIME_STRETCH = [0.6, 0.6, 0.6, 0.6, 0.6, 0.6, 0.3, 0.5, 0.7, 0.6, 0.6, 0.6, 0.6, 0.6, 0.6]


timestamp	set_id	seed	cm00	cm01	cm10	cm11
2026-03-05 17:58:50.089217	6	6	0.6695	0.3305	0.1882	0.8118
2026-03-05 19:50:55.164970	7	1	0.7259	0.2741	0.1766	0.8234
2026-03-05 21:40:42.470547	7	2	0.7318	0.2682	0.2156	0.7844
2026-03-05 23:33:11.205490	7	3	0.8042	0.1958	0.2907	0.7093
2026-03-06 01:27:20.355554	7	4	0.7442	0.2558	0.3188	0.6812
2026-03-06 03:22:38.767814	7	5	0.7975	0.2025	0.3372	0.6628
2026-03-06 05:15:14.081377	7	6	0.6996	0.3004	0.2008	0.7992
2026-03-06 07:11:52.193910	8	1	0.6799	0.3201	0.1871	0.8129
2026-03-06 09:08:53.054819	8	2	0.8228	0.1772	0.2116	0.7884
2026-03-06 11:06:10.671250	8	3	0.7178	0.2822	0.2194	0.7806
2026-03-06 13:03:36.766279	8	4	0.7053	0.2947	0.2362	0.7638
2026-03-06 15:00:59.861068	8	5	0.6897	0.3103	0.2067	0.7933
2026-03-06 16:57:52.019443	8	6	0.6742	0.3258	0.2093	0.7907
2026-03-06 18:51:37.946989	9	1	0.7353	0.2647	0.1847	0.8153
2026-03-06 20:49:03.650851	9	2	0.7333	0.2667	0.1909	0.8091
2026-03-06 22:44:47.119731	9	3	0.6808	0.3192	0.2105	0.7895
2026-03-07 00:40:11.487441	9	4	0.7593	0.2407	0.1689	0.8311
2026-03-07 02:38:11.307454	9	5	0.7458	0.2542	0.2691	0.7309
2026-03-07 04:35:18.822415	9	6	0.8549	0.1451	0.2381	0.7619
2026-03-07 06:33:39.215417	10	1	0.6468	0.3532	0.1227	0.8773
2026-03-07 08:33:10.891553	10	2	0.7182	0.2818	0.1819	0.8181
2026-03-07 10:31:04.768663	10	3	0.6991	0.3009	0.1884	0.8116
2026-03-07 12:29:00.900711	10	4	0.6729	0.3271	0.1905	0.8095
2026-03-07 14:28:49.298179	10	5	0.7452	0.2548	0.3017	0.6983
2026-03-07 16:27:15.536327	10	6	0.7387	0.2613	0.1325	0.8675
2026-03-07 18:24:43.705300	11	1	0.6945	0.3055	0.1235	0.8765
2026-03-07 20:22:25.308642	11	2	0.7731	0.2269	0.2363	0.7637
2026-03-07 22:19:23.561870	11	3	0.7449	0.2551	0.2109	0.7891
2026-03-08 00:19:28.427190	11	4	0.7149	0.2851	0.1607	0.8393
2026-03-08 02:18:58.850202	11	5	0.6834	0.3166	0.1734	0.8266
2026-03-08 04:19:16.302886	11	6	0.6983	0.3017	0.2309	0.7691
2026-03-08 06:11:24.447219	12	1	0.6543	0.3457	0.1209	0.8791
2026-03-08 08:05:15.591814	12	2	0.7155	0.2845	0.3285	0.6715
2026-03-08 10:00:25.716356	12	3	0.7099	0.2901	0.2221	0.7779
2026-03-08 11:57:39.671098	12	4	0.7589	0.2411	0.1808	0.8192
2026-03-08 13:51:19.324944	12	5	0.7162	0.2838	0.2033	0.7967
2026-03-08 15:46:55.404007	12	6	0.7291	0.2709	0.2454	0.7546
2026-03-08 17:45:19.921989	13	1	0.7630	0.2370	0.1569	0.8431
2026-03-08 19:44:16.863070	13	2	0.7806	0.2194	0.2517	0.7483
2026-03-08 21:42:57.632669	13	3	0.5822	0.4178	0.1574	0.8426
2026-03-08 23:42:16.760399	13	4	0.7414	0.2586	0.2044	0.7956
2026-03-09 01:41:54.032596	13	5	0.6930	0.3070	0.1923	0.8077
2026-03-09 03:39:13.363337	13	6	0.6669	0.3331	0.1108	0.8892
2026-03-09 05:40:08.040509	14	1	0.6377	0.3623	0.1529	0.8471
2026-03-09 07:45:13.487343	14	2	0.8587	0.1413	0.2360	0.7640
2026-03-09 09:48:32.980029	14	3	0.7171	0.2829	0.2650	0.7350
2026-03-09 11:51:27.742110	14	4	0.7828	0.2172	0.1655	0.8345
2026-03-09 13:57:07.948860	14	5	0.7196	0.2804	0.1421	0.8579
2026-03-09 16:01:06.973273	14	6	0.6917	0.3083	0.2153	0.7847
